Date,Agency,Category,Information
21. October 2024,European Commission,Update,,Notified Bodies Overview
21. October 2024,European Commission,Guidance,,MDCG 2021-25 rev.1 - Application of MDR requirements to "legacy devices"
21. October 2024,European Medicines Agency,Guidance,Applicants seeking access to PRIME scheme
21. October 2024,European Medicines Agency,Fachtsheet,PRIME Paving the way for promising medicines for patients
21. October 2024,European Medicines Agency,Plan,Change management - HMA-EMA joint Big Data Steering Group
21. October 2024,European Medicines Agency,Newsflash,CTIS newsflash â€“ 8. October 2024
21. October 2024,European Medicines Agency,Concept Paper,Clinical evaluation of therapeutic 4 radiopharmaceuticals in Oncology
21. October 2024,European Medicines Agency,Guidance,Registration guide for UI and API users
21. October 2024,European Medicines Agency,Guidance,Veterinary pharmacovigilance inspections
21. October 2024,European Medicines Agency,Guidance,Implementation of the European Pharmacopoeia Supplement 11.7
21. October 2024,"Health Sciences Authority (HSA),Singapore",Guidance,Post-marketing Vigilance Requirements for Therapautic Products
21. October 2024,"Health Sciences Authority (HSA),Singapore",Reimbursement	MediShield Life Councilâ€™s recommendations accepted - 2024 review
21. October 2024,ISO(International Organization for Standardization),Standard,ISO Update September 1. to 30. 2024
21. October 2024,Department of Health and Social Care,Roadmap,Design for Life Roadmap
21. October 2024,"MEDSAFE,New Zealand",Guidance,Requirements for information for prescribers and consumers
21. October 2024,"NMPA-National Medical Products Administration, Peoples Republic of China",Announcements	2 medical device standards: "Brain-Computer Interface Technology".
21. October 2024,Swissmedic,Forms,Forms for October 2024
21. October 2024,Swissmedic,Guidance,Fast-track & Temporary authorisation procedure for human medicinal products
21. October 2024,Swissmedic,Guidance,Authorisation of medicinal gases
21. October 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Requesting the Minister for Health to reconsider our initial decision
21. October 2024,"Therapeutic Goods Administration (TGA)", Australia",Guidance,Our response to questions asked about the Essential Principles consultation
21. October 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Nitrosamine impurities acceptable intakes update - October 2024
21. October 2024,USA Food & Drug Administration FDA,Guidance,CDRH Proposed Guidances for Fiscal Year 2025 (FY2025)
21. October 2024,USA Food & Drug Administration FDA,Guidance,Endosseous Dental Implants and Endosseous Dental Implant Abutments
21. October 2024,USA Food & Drug Administration FDA,Guidance,Frequently Asked Questions about Labeling for Prescription Medicines
21. October 2024,USA Food & Drug Administration FDA,Guidance,Supersaturation to Support â€œUrinary Tract Healthâ€ claims for Adult  Cat Food
21. October 2024,USA Food & Drug Administration FDA,Guidance,Temporary Policies for Compounding Certain Parenteral Drug Products
21. October 2024,USA Food & Drug Administration FDA,Guidance,Requests for Reconsideration at the Division Level Under GDUFA
21. October 2024,USA Food & Drug Administration FDA,Guidance,FDA Releases Updated Biosimilar Curriculum Toolkit
21. October 2024,USA Food & Drug Administration FDA,Guidance,Long-Term Clinical Neurodev. Safety Studies - Neonatal Product Development
21. October 2024,USA Food & Drug Administration FDA,Regulation,QMSR Correction
21. October 2024,USA Food & Drug Administration FDA,Report,Accelerating Rare Disease Cures (ARC) Program Year Two Annual Report
21. October 2024,USA Food & Drug Administration FDA,Snapshots,Device Trial Participation Snapshots
21. October 2024,World Health Organisation WHO,Guidance,Patient navigation for early detection, diagnosis and treatment of breast cancer
14. October 2024,Drug Regulatory Authority of Pakistan,Guidance,Switch over from Web Based One Customs (WEBOC)
14. October 2024,Egyptian Drug Authority,Guidance,Preclinical testing and Clinical Investigation for Medical devices
14. October 2024,Egyptian Drug Authority,Guidance,Application for Reliance Pathway - Laboratory Testing of Medical Products
14. October 2024,European Commission,Guidance,MDCG 2024-12 Guidance & Templates for Conformity Assessment
14. October 2024,European Commission,Guidance,MDCG 2024-11 Guidance on qualification of in vitro diagnostic medical devices
14. October 2024,European Commission,Update,Notified Body Update (50) MDR & (13) IVDR
14. October 2024,European Commission,Regulation,Harmonised standard aseptic processing of health care products
14. October 2024,European Commission,Regulation,Harmonised standard aseptic processing health care products & clinical studies
14. October 2024,European Medicines Agency,Guidance,Pre-authorisation procedural advice for users of the centralised procedure
14. October 2024,European Medicines Agency,Guidance,Implementation of ISO standards for (IDMP)
14. October 2024,European Medicines Agency,Guidance,"Mandate, objectives and rules of procedure GMP/GDP inspectors working group"
14. October 2024,European Medicines Agency,Updates,Veterinary Medicine. New Authorizations and Safety Updatesre
14. October 2024,European Medicines Agency,Consultation,Network strategy to 2028
14. October 2024,European Medicines Agency,Guidance,Overview of comments received on ICH M14
14. October 2024,European Directorate for the Quality of Medicines & HealthCare,Consultation,Pharmeuropa 36.4 just released
14. October 2024,European Directorate for the Quality of Medicines & HealthCare,Report,Certification Monthly Report
14. October 2024,Health & Youth Care Inspectorate, Netherlands",Call for Action,Medical Device Manufacturers - Implement an effective PMS system
14. October 2024,International Pharmaceutical Excipients Council Federation (IPEC),Guidance,Good Distribution Practices (GDP)
14. October 2024,Medicines and Healthcare products Regulatory Agency,Plan,MHRA Corporate Plan 2023-26
14. October 2024,Medicines and Healthcare products Regulatory Agency,Plan,Business Plan 2024/25
14. October 2024,International Medical Device Regulators Forum,Meeting,"26th Meeting Seattle, Washington  - Outcome Statement"
14. October 2024,International Medical Device Regulators Forum,Guidance,Common Data Set for Adverse Event Data Exchange Between Regulators
14. October 2024,South African Health Products Regulatory Authority,Announcement,South African & Australian health to share regulatory information
14. October 2024,Swissmedic,Journal,Swissmedic Journal September 2024
14. October 2024,Swissmedic,Corrigendûm,Reprocessing of Medical Devices
14. October 2024,Swissmedic,Annual Report,Potential for improvement in hospitals
14. October 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Advertising to health professionals
14. October 2024,USA Food & Drug Administration FDA,Roadmap,Women’s Health Research Roadmap
14. October 2024,USA Food & Drug Administration FDA,Guidance,Pharmaceutical Quality/Chemistry Manufacturing and Controls (PQ/CMC)
14. October 2024,USA Food & Drug Administration FDA,Podcast,Considerations of Drug Products that Contain Nano Materials
14. October 2024,USA Food & Drug Administration FDA,Exemption,FDA Grants Exemption to Connected Trading Partners
7. October 2024,ANVISA Brazil,Announcement,Anvisa and USA FDA sign Confidentiality Agreement
7. October 2024,European Medicines Agency,Guidance,Guidance on the details of the classification of variations veterinary products
7. October 2024,European Medicines Agency,Reflection paper,Artificial Intelligence (AI) in the medicinal product lifecycle
7. October 2024,European Medicines Agency,Guidance,Risk management for elemental impurities in veterinary medicinal products V3
7. October 2024,European Medicines Agency,Guidance,"Quality and equivalence of locally applied, locally acting cutaneous products"
7. October 2024,European Medicines Agency,Guidance,Overview of comments received on quality and equivalence of topical products
7. October 2024,European Medicines Agency,Guidance,Q&A low global warming potential propellants pressurised metered dose inhalers
7. October 2024,European Medicines Agency,Meeting,Pharmacovigilance Risk Assessment Committee 30 September-3 October 2024
7. October 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Medicines: reclassify your product
7. October 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Apply for manufacturer or wholesaler of medicines licences
7. October 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Pre-submission Advice & Support
7. October 2024,Department of Health The Government of the Hong Kong,Guidance,New arrangement of Processing of Renewal Application of Listed Medical Device
