Date,URL
9. September 2024,https://www.linkedin.com/feed/update/urn:li:activity:7237849459127169024?
2. September 2024,https://www.linkedin.com/feed/update/urn:li:activity:7236327012053778433?
26. August 2024 ,https://www.linkedin.com/feed/update/urn:li:activity:7233790350278955009?
19. August 2024,https://www.linkedin.com/feed/update/urn:li:activity:7231253603171139585?
12. August 2024,https://www.linkedin.com/feed/update/urn:li:activity:7228716888141303808?
5. August 2024,https://www.linkedin.com/feed/update/urn:li:activity:7226180161166057472?
29. July 2024,
22. July 2024,
15. July 2024,
8. July 2024,
1. July 2024,
24. June 2024,
17. June 2024,
10. June 2024,
3. June 2024,
27. May 2024,
20. May 2024,
13. May 2024,
6. May 2024,
29. April 2024,
22. April 2024,
15. April 2024,
8. April 2024,
1. April 2024,
25. March 2024,
18. March 2024 ,
11. March 2024,
4. March 2024,
26. February 2024 ,
19. February 2024 ,
12. February 2024,
5. February 2024,
29. January 2024 ,
22. January 2024 ,
15. January 2024,
8. January 2024 ,
1. January 2024,
